product_id,product_name,category,brand,base_price,product_specs
PROD-5011,Xiaomi 20000mAh 18W Fast Charging Power Bank,Electronics,Xiaomi,1999.0,"{""weight_grams"": 434, ""warranty_months"": 6, ""is_returnable"": true, ""model_code"": ""MOD-5470""}"
PROD-5012,Sony WH-CH520 Wireless Bluetooth Headphones,Electronics,Sony,4490.0,"{""weight_grams"": 147, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-4159""}"
PROD-5013,Realme Buds T100 Bluetooth in-Ear TWS,Electronics,Realme,1499.0,"{""weight_grams"": 34, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-2845""}"
PROD-5014,Fabindia Men Long Cotton Chikankari Kurta,Fashion,Fabindia,2490.0,"{""weight_grams"": 280, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-6417""}"
PROD-5015,Fabindia Women Tussar Silk Dupatta,Fashion,Fabindia,1890.0,"{""weight_grams"": 150, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-3662""}"
PROD-5016,Manyavar Embroidered Art Silk Sherwani Set,Fashion,Manyavar,12999.0,"{""weight_grams"": 1100, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-8518""}"
PROD-5017,Manyavar Men Jacquard Kurta Pyjama Set,Fashion,Manyavar,3999.0,"{""weight_grams"": 450, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-5215""}"
PROD-5018,Peter England Men Slim Fit Formal Shirt,Fashion,Peter England,1199.0,"{""weight_grams"": 220, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-4050""}"
PROD-5019,Peter England Regular Fit Casual Chinos,Fashion,Peter England,1499.0,"{""weight_grams"": 380, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-1230""}"
PROD-5020,Puma Men Enzo 2 Running Shoes,Fashion,Puma,3499.0,"{""weight_grams"": 700, ""warranty_months"": 3, ""is_returnable"": true, ""model_code"": ""MOD-6523""}"
PROD-5021,Puma Unisex Solid Classic Backpack 24L,Fashion,Puma,1299.0,"{""weight_grams"": 350, ""warranty_months"": 6, ""is_returnable"": true, ""model_code"": ""MOD-5833""}"
PROD-5022,Levi's 511 Mid-Rise Slim Fit Stretch Jeans,Fashion,Levi's,2899.0,"{""weight_grams"": 580, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-4164""}"
PROD-5023,Titan Karishma Analog Champagne Dial Watch,Fashion,Titan,2195.0,"{""weight_grams"": 120, ""warranty_months"": 24, ""is_returnable"": true, ""model_code"": ""MOD-3875""}"
PROD-5024,Fastrack Casual Analog Black Dial Watch,Fashion,Titan,1350.0,"{""weight_grams"": 95, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-7643""}"
PROD-5025,W for Woman Printed Straight Rayon Kurta,Fashion,W for Woman,1599.0,"{""weight_grams"": 200, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-8007""}"
PROD-5026,Raymond Men Raymond Fine Poly-Wool Suit Fabric,Fashion,Raymond,4999.0,"{""weight_grams"": 850, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-9442""}"
PROD-5027,Tata Tea Gold Leaf Pouch 1kg,Groceries,Tata Consumer,540.0,"{""weight_grams"": 1000, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-6372""}"
PROD-5028,Tata Sampann Pure Unpolished Toor Dal 1kg,Groceries,Tata Consumer,185.0,"{""weight_grams"": 1000, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-2421""}"
PROD-5029,Tata Salt Vacuum Evaporated Iodised 1kg,Groceries,Tata Consumer,28.0,"{""weight_grams"": 1000, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-7567""}"
PROD-5030,Aashirvaad Superior MP Shudh Chakki Atta 10kg,Groceries,ITC,495.0,"{""weight_grams"": 10000, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-2562""}"
PROD-5031,Sunfeast Dark Fantasy Choco Fills (Pack of 3),Groceries,ITC,240.0,"{""weight_grams"": 300, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-4027""}"
PROD-5032,Amul Pure Cow Ghee Tin 1L,Groceries,Amul,650.0,"{""weight_grams"": 910, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-3303""}"
PROD-5033,Amul Salted Butter 500g,Groceries,Amul,275.0,"{""weight_grams"": 500, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-8822""}"
PROD-5034,Fortune Sunlite Refined Sunflower Oil 5L Can,Groceries,Fortune,799.0,"{""weight_grams"": 4600, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-6301""}"
PROD-5035,Daawat Rozana Gold Basmati Rice 5kg,Groceries,Daawat,435.0,"{""weight_grams"": 5000, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-5064""}"
PROD-5036,Maggi 2-Minute Masala Instant Noodles 12-Pack,Groceries,Nestle,168.0,"{""weight_grams"": 840, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-1111""}"
PROD-5037,Saffola Gold Pro Healthy Lifestyle Edible Oil 5L,Groceries,Saffola,899.0,"{""weight_grams"": 4600, ""warranty_months"": 0, ""is_returnable"": false, ""model_code"": ""MOD-5272""}"
PROD-5038,Prestige Iris 750W Mixer Grinder with 3 Jars,Home & Kitchen,Prestige,3299.0,"{""weight_grams"": 4200, ""warranty_months"": 24, ""is_returnable"": true, ""model_code"": ""MOD-7284""}"
PROD-5039,Prestige Omega Select Plus Non-Stick Omni Tawa,Home & Kitchen,Prestige,999.0,"{""weight_grams"": 720, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-4858""}"
PROD-5040,Hawkins Classic 5 Litre Aluminium Pressure Cooker,Home & Kitchen,Hawkins,1975.0,"{""weight_grams"": 2100, ""warranty_months"": 60, ""is_returnable"": true, ""model_code"": ""MOD-8319""}"
PROD-5041,Milton Thermosteel Duo Deluxe Flask 1000ml,Home & Kitchen,Milton,1040.0,"{""weight_grams"": 480, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-5374""}"
PROD-5042,Milton Pro Lunch Insulated Stainless Steel Tiffin,Home & Kitchen,Milton,850.0,"{""weight_grams"": 650, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-6400""}"
PROD-5043,Pigeon Aster 2-Burner Toughened Glass Gas Stove,Home & Kitchen,Pigeon,2199.0,"{""weight_grams"": 5200, ""warranty_months"": 24, ""is_returnable"": true, ""model_code"": ""MOD-5947""}"
PROD-5044,Bajaj DX-7 1000W Lightweight Dry Iron,Home & Kitchen,Bajaj,799.0,"{""weight_grams"": 800, ""warranty_months"": 24, ""is_returnable"": true, ""model_code"": ""MOD-1187""}"
PROD-5045,Philips HD9200 4.1 Litre Rapid Air Fryer,Home & Kitchen,Philips,6499.0,"{""weight_grams"": 4500, ""warranty_months"": 24, ""is_returnable"": true, ""model_code"": ""MOD-5285""}"
PROD-5046,Wipro Garnet 9W Smart LED Bulb B22,Home & Kitchen,Wipro,499.0,"{""weight_grams"": 85, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-6890""}"
PROD-5047,Crompton Hill Briz 1200mm Ceiling Fan,Home & Kitchen,Crompton,1749.0,"{""weight_grams"": 3900, ""warranty_months"": 24, ""is_returnable"": true, ""model_code"": ""MOD-4871""}"
PROD-5048,Mamaearth Onion Hair Oil with Redensyl 250ml,Beauty & Personal Care,Mamaearth,499.0,"{""weight_grams"": 270, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-2017""}"
PROD-5049,Mamaearth Ubtan Natural Face Wash 150ml,Beauty & Personal Care,Mamaearth,349.0,"{""weight_grams"": 180, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-2936""}"
PROD-5050,Lakmé Absolute Skin Natural Mousse SPF 8,Beauty & Personal Care,Lakmé,750.0,"{""weight_grams"": 25, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-8625""}"
PROD-5051,Lakmé Eyeconic Kajal Twin Pack (Deep Black),Beauty & Personal Care,Lakmé,375.0,"{""weight_grams"": 15, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-6026""}"
PROD-5052,WOW Apple Cider Vinegar Shampoo 300ml,Beauty & Personal Care,WOW Skin Science,449.0,"{""weight_grams"": 340, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-3616""}"
PROD-5053,Plum Green Tea Alcohol-Free Toner 200ml,Beauty & Personal Care,Plum,390.0,"{""weight_grams"": 220, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-7642""}"
PROD-5054,Forest Essentials Mashobra Honey Facial Cleanser 200ml,Beauty & Personal Care,Forest Essentials,1475.0,"{""weight_grams"": 260, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-9233""}"
PROD-5055,Biotique Bio Neem Purifying Face Wash 200ml,Beauty & Personal Care,Biotique,199.0,"{""weight_grams"": 230, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-6095""}"
PROD-5056,Himalaya Purifying Neem Face Pack 100g,Beauty & Personal Care,Himalaya,140.0,"{""weight_grams"": 120, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-2923""}"
PROD-5057,Nivea Men Deep Impact Fresh Deodorant 150ml,Beauty & Personal Care,Nivea,225.0,"{""weight_grams"": 150, ""warranty_months"": 0, ""is_returnable"": true, ""model_code"": ""MOD-5833""}"
PROD-5058,boAt Airdopes 141 True Wireless Earbuds Edition 2,Electronics,boAt,1299.0,"{""weight_grams"": 45, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-7021""}"
PROD-5059,boAt Stone 650 10W Bluetooth Speaker Edition 2,Electronics,boAt,1999.0,"{""weight_grams"": 650, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-4618""}"
PROD-5060,Noise ColorFit Pulse 2 Max Smartwatch Edition 2,Electronics,Noise,1799.0,"{""weight_grams"": 42, ""warranty_months"": 12, ""is_returnable"": true, ""model_code"": ""MOD-4590""}"
